Column,Year,Age,Sex,Participant,Casualty,Total
0,2005,00 - 05 years,Male,Pedestrians,Injured,36
1,2005,00 - 05 years,Male,Pedestrians,Killed,3
2,2005,00 - 05 years,Male,Pedal cyclists,Injured,0
3,2005,00 - 05 years,Male,Pedal cyclists,Killed,0
4,2005,00 - 05 years,Male,Other road users,Injured,4
5,2005,00 - 05 years,Male,Other road users,Killed,0
6,2005,00 - 05 years,Male,Motor cyclists,Injured,0
7,2005,00 - 05 years,Male,Motor cyclists,Killed,0
8,2005,00 - 05 years,Male,Car passengers,Injured,52
9,2005,00 - 05 years,Male,Car passengers,Killed,0
10,2005,00 - 05 years,Male,Car drivers,Injured,1
11,2005,00 - 05 years,Male,Car drivers,Killed,0
12,2005,00 - 05 years,Female,Pedestrians,Injured,17
13,2005,00 - 05 years,Female,Pedestrians,Killed,0
14,2005,00 - 05 years,Female,Pedal cyclists,Injured,1
15,2005,00 - 05 years,Female,Pedal cyclists,Killed,0
16,2005,00 - 05 years,Female,Other road users,Injured,1
17,2005,00 - 05 years,Female,Other road users,Killed,0
18,2005,00 - 05 years,Female,Motor cyclists,Injured,0
19,2005,00 - 05 years,Female,Motor cyclists,Killed,0
20,2005,00 - 05 years,Female,Car passengers,Injured,53
21,2005,00 - 05 years,Female,Car passengers,Killed,0
22,2005,00 - 05 years,Female,Car drivers,Injured,0
23,2005,00 - 05 years,Female,Car drivers,Killed,0
24,2005,06 - 09 years,Male,Pedestrians,Injured,41
25,2005,06 - 09 years,Male,Pedestrians,Killed,1
26,2005,06 - 09 years,Male,Pedal cyclists,Injured,8
27,2005,06 - 09 years,Male,Pedal cyclists,Killed,0
28,2005,06 - 09 years,Male,Other road users,Injured,9
29,2005,06 - 09 years,Male,Other road users,Killed,0
30,2005,06 - 09 years,Male,Motor cyclists,Injured,1
31,2005,06 - 09 years,Male,Motor cyclists,Killed,0
32,2005,06 - 09 years,Male,Car passengers,Injured,37
33,2005,06 - 09 years,Male,Car passengers,Killed,0
34,2005,06 - 09 years,Male,Car drivers,Injured,0
35,2005,06 - 09 years,Male,Car drivers,Killed,0
36,2005,06 - 09 years,Female,Pedestrians,Injured,19
37,2005,06 - 09 years,Female,Pedestrians,Killed,0
38,2005,06 - 09 years,Female,Pedal cyclists,Injured,3
