	Age	Sex	Participant	Casualty	2008	2009
0	0 - 5 years	Male	Pedestrians	Injured	54	35
1	0 - 5 years	Male	Pedestrians	Killed	1	3
2	0 - 5 years	Male	Pedal cyclists	Injured	0	2
3	0 - 5 years	Male	Pedal cyclists	Killed	0	0
4	0 - 5 years	Male	Motor cyclists	Injured	0	0
5	0 - 5 years	Male	Motor cyclists	Killed	0	0
6	0 - 5 years	Male	Car drivers	Injured	0	0
7	0 - 5 years	Male	Car drivers	Killed	0	0
8	0 - 5 years	Male	Car passengers	Injured	97	85
9	0 - 5 years	Male	Car passengers	Killed	0	2
10	0 - 5 years	Male	Other road users	Injured	3	2
11	0 - 5 years	Male	Other road users	Killed	2	0
12	0 - 5 years	Female	Pedestrians	Injured	30	23
13	0 - 5 years	Female	Pedestrians	Killed	0	1
14	0 - 5 years	Female	Pedal cyclists	Injured	0	1
15	0 - 5 years	Female	Pedal cyclists	Killed	0	0
16	0 - 5 years	Female	Motor cyclists	Injured	0	0
17	0 - 5 years	Female	Motor cyclists	Killed	0	0
18	0 - 5 years	Female	Car drivers	Injured	0	0
19	0 - 5 years	Female	Car drivers	Killed	0	0
20	0 - 5 years	Female	Car passengers	Injured	92	99
21	0 - 5 years	Female	Car passengers	Killed	1	1
22	0 - 5 years	Female	Other road users	Injured	2	1
23	0 - 5 years	Female	Other road users	Killed	0	0
24	6 - 9 years	Male	Pedestrians	Injured	50	48
25	6 - 9 years	Male	Pedestrians	Killed	2	1
26	6 - 9 years	Male	Pedal cyclists	Injured	9	4
27	6 - 9 years	Male	Pedal cyclists	Killed	0	0
28	6 - 9 years	Male	Motor cyclists	Injured	1	1
29	6 - 9 years	Male	Motor cyclists	Killed	0	0
30	6 - 9 years	Male	Car drivers	Injured	0	0
31	6 - 9 years	Male	Car drivers	Killed	0	0
32	6 - 9 years	Male	Car passengers	Injured	69	71
33	6 - 9 years	Male	Car passengers	Killed	1	0
34	6 - 9 years	Male	Other road users	Injured	2	3
35	6 - 9 years	Male	Other road users	Killed	0	0
36	6 - 9 years	Female	Pedestrians	Injured	31	28
37	6 - 9 years	Female	Pedestrians	Killed	1	0
38	6 - 9 years	Female	Pedal cyclists	Injured	0	5
39	6 - 9 years	Female	Pedal cyclists	Killed	0	0
40	6 - 9 years	Female	Motor cyclists	Injured	0	0
41	6 - 9 years	Female	Motor cyclists	Killed	0	0
42	6 - 9 years	Female	Car drivers	Injured	0	0
43	6 - 9 years	Female	Car drivers	Killed	0	0
44	6 - 9 years	Female	Car passengers	Injured	55	65
45	6 - 9 years	Female	Car passengers	Killed	1	0
46	6 - 9 years	Female	Other road users	Injured	3	5
47	6 - 9 years	Female	Other road users	Killed	0	0
48	10 - 14 years	Male	Pedestrians	Injured	70	58
49	10 - 14 years	Male	Pedestrians	Killed	3	0
