Age,Sex,Participant,Casualty,2011,2012
0 - 5 years,Male,Car drivers,Injured,39,0
0 - 5 years,Female,Car drivers,Injured,0,0
6 - 9 years,Male,Car drivers,Injured,3,0
6 - 9 years,Female,Car drivers,Injured,1,0
10 - 14 years,Male,Car drivers,Injured,0,0
10 - 14 years,Female,Car drivers,Injured,0,0
15 - 17 years,Male,Car drivers,Injured,0,26
15 - 17 years,Female,Car drivers,Injured,0,16
18 - 20 years,Male,Car drivers,Injured,54,157
18 - 20 years,Female,Car drivers,Injured,1,97
21 - 24 years,Male,Car drivers,Injured,2,189
21 - 24 years,Female,Car drivers,Injured,0,148
25 - 34 years,Male,Car drivers,Injured,24,377
25 - 34 years,Female,Car drivers,Injured,0,384
35 - 44 years,Male,Car drivers,Injured,0,351
35 - 44 years,Female,Car drivers,Injured,0,335
45 - 54 years,Male,Car drivers,Injured,0,213
45 - 54 years,Female,Car drivers,Injured,0,240
55 - 64 years,Male,Car drivers,Injured,0,135
55 - 64 years,Female,Car drivers,Injured,0,165
65 years and over,Male,Car drivers,Injured,69,177
65 years and over,Female,Car drivers,Injured,0,117
Age unknown,Male,Car drivers,Injured,0,15
Age unknown,Female,Car drivers,Injured,0,6
0 - 5 years,Male,Car passengers,Injured,45,83
0 - 5 years,Female,Car passengers,Injured,1,56
6 - 9 years,Male,Car passengers,Injured,18,54
6 - 9 years,Female,Car passengers,Injured,1,48
10 - 14 years,Male,Car passengers,Injured,0,62
10 - 14 years,Female,Car passengers,Injured,0,67
15 - 17 years,Male,Car passengers,Injured,0,94
15 - 17 years,Female,Car passengers,Injured,0,96
18 - 20 years,Male,Car passengers,Injured,40,155
18 - 20 years,Female,Car passengers,Injured,0,117
21 - 24 years,Male,Car passengers,Injured,8,172
21 - 24 years,Female,Car passengers,Injured,0,95
25 - 34 years,Male,Car passengers,Injured,23,199
25 - 34 years,Female,Car passengers,Injured,0,192
35 - 44 years,Male,Car passengers,Injured,2,89
35 - 44 years,Female,Car passengers,Injured,0,120
45 - 54 years,Male,Car passengers,Injured,0,41
45 - 54 years,Female,Car passengers,Injured,0,80
55 - 64 years,Male,Car passengers,Injured,0,28
55 - 64 years,Female,Car passengers,Injured,0,62
65 years and over,Male,Car passengers,Injured,49,30
65 years and over,Female,Car passengers,Injured,0,88
Age unknown,Male,Car passengers,Injured,0,7
Age unknown,Female,Car passengers,Injured,0,11
0 - 5 years,Male,Motor cyclists,Injured,51,0
0 - 5 years,Female,Motor cyclists,Injured,1,0
6 - 9 years,Male,Motor cyclists,Injured,25,0
6 - 9 years,Female,Motor cyclists,Injured,0,0
10 - 14 years,Male,Motor cyclists,Injured,2,1
10 - 14 years,Female,Motor cyclists,Injured,0,0
15 - 17 years,Male,Motor cyclists,Injured,0,8
15 - 17 years,Female,Motor cyclists,Injured,0,0
18 - 20 years,Male,Motor cyclists,Injured,54,9
18 - 20 years,Female,Motor cyclists,Injured,0,1
21 - 24 years,Male,Motor cyclists,Injured,17,29
21 - 24 years,Female,Motor cyclists,Injured,0,3
25 - 34 years,Male,Motor cyclists,Injured,43,77
25 - 34 years,Female,Motor cyclists,Injured,1,9
